"","brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"49","Mitsubishi",2021,13366,2.4,1,"Hybrid","Four-wheel Drive",NA,NA,0,1,0,1,0,1,26177
"104","Land",2019,62756,NA,1,"Petrol","Four-wheel Drive",20,28,0,0,0,1,0,0,26900
"164","Toyota",2013,57779,4,1,"Petrol","Four-wheel Drive",17,20,0,1,0,1,0,0,40000
"220","Jaguar",2016,45462,5,1,"Petrol","Four-wheel Drive",22,27,0,0,1,1,0,1,46489
"275","MINI",2020,28464,2,1,"Petrol","Front-wheel Drive",26,34,1,1,0,1,0,0,24498
"330","Cadillac",2021,7384,3,1,"Petrol","Four-wheel Drive",20,30,0,0,1,1,0,0,54500
"384","Cadillac",2004,40192,4.6,1,"Petrol","Rear-wheel Drive",NA,NA,0,0,1,0,0,1,24979
"440","Honda",2010,104506,2.4,1,"Petrol","Four-wheel Drive",21,27,0,1,1,1,0,1,13295
"497","Nissan",2023,8119,3.5,1,"Petrol","Four-wheel Drive",NA,NA,0,1,0,0,1,1,41883
"554","Land",2015,52000,5,1,"Petrol","Four-wheel Drive",19,24,0,0,1,1,0,0,39997
"614","BMW",2013,88135,2,1,"Petrol","Rear-wheel Drive",0,24,0,0,1,1,0,1,14898
"670","Land",2018,13161,3,1,"Petrol","Four-wheel Drive",21,25,0,0,1,1,0,0,47258
"725","Nissan",2023,3421,1.5,1,"Petrol","Front-wheel Drive",31,34,0,1,0,1,0,0,27487
"786","Cadillac",2020,29770,3.6,1,"Petrol","Front-wheel Drive",18,26,0,1,1,1,1,0,40729
"841","Toyota",2013,93381,1.8,1,"Hybrid","Front-wheel Drive",48,51,1,0,1,1,0,0,13971
"896","Chevrolet",2014,102007,6.6,1,"Diesel","Four-wheel Drive",NA,NA,0,0,0,0,0,0,25900
"954","Hyundai",2021,39665,2.5,1,"Petrol","Front-wheel Drive",20,30,0,1,1,1,0,1,36995
"1015","Kia",2022,5195,2.5,1,"Petrol","Four-wheel Drive",19,28,0,1,1,1,1,1,43968
"1074","MINI",2017,127379,2,0,"Petrol","Four-wheel Drive",28,37,0,1,0,1,0,0,13900
"1129","Mazda",2015,31919,2,1,"Petrol","Rear-wheel Drive",20,26,1,0,0,0,0,0,20980
"1191","Jeep",2021,22710,3.6,1,"Petrol","Four-wheel Drive",13,18,0,1,0,1,0,0,43990
"1250","Lexus",2019,33503,2.5,1,"Hybrid","Front-wheel Drive",38,41,0,1,0,1,0,0,39588
"1313","Honda",2016,17446,2.4,1,"Petrol","Front-wheel Drive",26,33,0,0,1,1,0,1,24628
"1369","Hyundai",2015,102538,3.3,1,"Petrol","Four-wheel Drive",27,34,0,0,1,1,1,1,14995
"1427","Chevrolet",2018,191907,5.3,1,"GPL","Four-wheel Drive",15,22,0,1,0,1,1,0,17995
"1483","Lexus",2014,117598,2.5,1,"Petrol","Four-wheel Drive",15,19,1,0,0,1,0,1,21995
"1541","Mitsubishi",2009,136046,3.8,0,"Petrol","Front-wheel Drive",24,29,1,0,0,0,0,0,5995
"1598","Jeep",2021,18730,2,1,"Hybrid","Four-wheel Drive",22,31,0,1,1,1,0,1,49642
"1653","FIAT",2017,48774,2.4,1,"Petrol","Front-wheel Drive",25,33,NA,NA,0,1,0,0,16998
"1706","Land",2017,45015,3,1,"Diesel","Four-wheel Drive",14,19,0,0,1,1,0,1,33800
"1763","MINI",2014,98882,1.6,1,"Petrol","Front-wheel Drive",23,32,1,0,0,1,0,0,11600
"1831","Alfa",2020,31025,2,1,"Petrol","Four-wheel Drive",22,28,0,1,0,1,0,0,35790
"1886","BMW",2013,105550,3,1,"Petrol","Four-wheel Drive",21,30,0,1,1,1,0,1,14588
"1941","Audi",2019,41484,3,1,"Petrol","Four-wheel Drive",19,27,0,1,1,1,0,0,44299
"2003","Jaguar",2011,85000,5,0,"Petrol","Rear-wheel Drive",21,28,0,0,1,1,0,1,18100
"2060","MINI",2009,77003,1.6,1,"Petrol","Front-wheel Drive",29,40,1,1,0,0,0,0,8500
"2117","Alfa",2020,25607,2,1,"Petrol","Rear-wheel Drive",17,23,0,1,0,1,0,0,30880
"2176","Mercedes-Benz",2020,38111,2,1,"Petrol","Four-wheel Drive",22,32,1,1,1,1,0,0,33488
"2238","Maserati",2016,16517,4.7,1,"Petrol","Rear-wheel Drive",13,20,0,0,1,1,0,1,45990
"2299","Toyota",2017,74034,3.5,1,"Petrol","Four-wheel Drive",18,24,1,1,0,1,1,0,27999
"2358","Toyota",2011,0,4,1,"Petrol","Four-wheel Drive",17,21,0,0,0,1,0,0,25523
"2416","Audi",2020,0,2,1,"Petrol","Four-wheel Drive",22,30,0,1,1,1,0,1,33887
"2476","Lexus",2013,77531,3.5,1,"Petrol","Four-wheel Drive",NA,NA,0,0,1,1,0,1,19995
"2531","Alfa",2022,7575,2,1,"Petrol","Four-wheel Drive",22,28,0,1,1,1,0,1,40990
"2589","Alfa",2022,14432,2,1,"Petrol","Four-wheel Drive",23,31,0,1,1,1,0,0,34995
"2647","Ford",2020,28071,2,1,"Petrol","Four-wheel Drive",26,31,0,0,1,1,0,1,27500
"2707","Volkswagen",2019,27922,2,1,"Petrol","Four-wheel Drive",17,23,0,1,1,1,0,1,41288
"2769","Toyota",2013,113999,3.5,1,"Petrol","Front-wheel Drive",21,31,1,1,1,1,0,1,15484
"2833","Kia",2023,5319,3.8,1,"Petrol","Four-wheel Drive",27,31,1,1,1,0,1,1,53750
"2892","MINI",2016,54901,2,1,"Petrol","Front-wheel Drive",28,38,0,1,0,1,0,1,18997
"2947","Volkswagen",2020,19148,2,1,"Petrol","Front-wheel Drive",NA,NA,1,1,0,1,0,1,31495
"3008","Toyota",2012,73512,2.5,1,"Petrol","Front-wheel Drive",25,35,0,0,0,1,0,0,15490
"3069","Audi",2016,35949,4,1,"Petrol","Four-wheel Drive",NA,NA,0,0,1,1,0,1,53988
"3123","Kia",2022,30680,1.6,1,"Hybrid","Four-wheel Drive",26,31,0,1,1,1,1,1,39995
"3180","Chevrolet",2021,57542,5.3,1,"Petrol","Four-wheel Drive",16,20,0,1,1,1,1,1,54000
"3233","Audi",2019,40768,3,1,"Petrol","Four-wheel Drive",21,30,1,1,1,1,0,1,41424
"3287","Maserati",2017,57174,3,1,"Petrol","Four-wheel Drive",16,22,0,0,1,1,0,1,27977
"3342","Hyundai",2016,114000,1.6,0,"Petrol","Front-wheel Drive",NA,NA,0,1,0,0,0,0,8550
"3403","Land",2019,58762,3,1,"Petrol","Four-wheel Drive",16,21,0,0,1,1,0,0,47998
"3455","Land",2017,27443,2,1,"Petrol","Four-wheel Drive",19,24,1,0,1,1,0,0,31990
"3512","Cadillac",2015,144875,6.2,1,"Petrol","Four-wheel Drive",17,24,1,0,1,1,1,0,28000
