"","brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"1","Mitsubishi",2021,13366,2.4,"1","Hybrid","Four-wheel Drive",28,32,"0","1","0","1","0","1",26177
"2","Land",2019,62756,2,"1","Petrol","Four-wheel Drive",20,28,"0","0","0","1","0","0",26900
"3","Toyota",2013,57779,4,"1","Petrol","Four-wheel Drive",17,20,"0","1","0","1","0","0",40000
"4","Jaguar",2016,45462,5,"1","Petrol","Four-wheel Drive",22,27,"0","0","1","1","0","1",46489
"5","MINI",2020,28464,2,"1","Petrol","Front-wheel Drive",26,34,"1","1","0","1","0","0",24498
"6","Cadillac",2021,7384,3,"1","Petrol","Four-wheel Drive",20,30,"0","0","1","1","0","0",54500
"7","Cadillac",2004,40192,4.6,"1","Petrol","Rear-wheel Drive",18,21,"0","0","1","0","0","1",24979
"8","Honda",2010,104506,2.4,"1","Petrol","Four-wheel Drive",21,27,"0","1","1","1","0","1",13295
"9","Nissan",2023,8119,3.5,"1","Petrol","Four-wheel Drive",22,26,"0","1","0","0","1","1",41883
"10","Land",2015,52000,5,"1","Petrol","Four-wheel Drive",19,24,"0","0","1","1","0","0",39997
"11","BMW",2013,88135,2,"1","Petrol","Rear-wheel Drive",14,24,"0","0","1","1","0","1",14898
"12","Land",2018,13161,3,"1","Petrol","Four-wheel Drive",21,25,"0","0","1","1","0","0",47258
"13","Nissan",2023,3421,1.5,"1","Petrol","Front-wheel Drive",31,34,"0","1","0","1","0","0",27487
"14","Cadillac",2020,29770,3.6,"1","Petrol","Front-wheel Drive",18,26,"0","1","1","1","1","0",40729
"15","Toyota",2013,93381,1.8,"1","Hybrid","Front-wheel Drive",48,51,"1","0","1","1","0","0",13971
"16","Chevrolet",2014,102007,6.6,"1","Diesel","Four-wheel Drive",15,17,"0","0","0","0","0","0",25900
"17","Hyundai",2021,39665,2.5,"1","Petrol","Front-wheel Drive",20,30,"0","1","1","1","0","1",36995
"18","Kia",2022,5195,2.5,"1","Petrol","Four-wheel Drive",19,28,"0","1","1","1","1","1",43968
"19","MINI",2017,127379,2,"0","Petrol","Four-wheel Drive",28,37,"0","1","0","1","0","0",13900
